Date/Time Reported,Date/Time Occurred,Location,Incident,CAD #,Report #,Disposition
4/3/2023 17:36,,Cal Poly Police Department,FOLLOWUP - Followup,23-04-03-004480,,COMPLETED- NO REPORT
4/3/2023 16:24,,Highland Drive,PROPERTY - Found Property report,23-04-03-004477,,IN SERVICE
4/3/2023 16:18,,Muir Hall,FOLLOWUP - Followup,23-04-03-004476,,IN SERVICE
4/3/2023 16:07,,University Drive,TRAFFIC - TRAFFIC CONTROL,23-04-03-004475,,IN SERVICE
4/3/2023 15:58,,Highland Drive,DOCUMENTATION - General Incident,23-04-03-004472,,COMPLETED- NO REPORT
4/3/2023 14:34,,Pcv Corralitos,ALARM - Fire Alarm,23-04-03-004468,,False/Cooking related
4/3/2023 14:11,,Health & Wellbeing Center Area,MOTOR VEHICLE THEFT - 10851 Recovered local/stolen out of area,23-04-03-004467,,IN SERVICE
4/3/2023 13:20,03/29/2023 12:01 am - 03/30/2023 11:59 pm,,PROPERTY - Lost Property,,230407,Closed
4/3/2023 13:20,,,PROPERTY - Lost Property,23-04-03-004465,230407,REPORT TAKEN
4/3/2023 11:46,,H2-a Parking Lot,PARKING - Parking Violation,23-04-03-004459,,OFF DUTY
4/3/2023 11:31,,Pcv Estrella,ALARM - Fire Alarm,23-04-03-004458,,CALLED PRIOR
4/3/2023 11:27,,Grand Avenue,CITIZEN ASSIST - Citizen Contact,23-04-03-004457,,IN SERVICE
4/3/2023 10:56,,Yak?ityutyu - A,MEDICAL - Medical Aid,23-04-03-004455,230406,REPORT TAKEN
4/3/2023 10:32,,Truckee Road,CITIZEN ASSIST - Citizen Contact,23-04-03-004452,,IN SERVICE
4/3/2023 10:25,,Unknown On-campus,MEDICAL - Medical Aid,23-04-03-004451,,COMPLETED- NO REPORT
4/3/2023 10:07,,Cerro Vista Housing,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-03-004450,,COMPLETED- NO REPORT
4/3/2023 9:09,,Crops Science Unit,CITIZEN ASSIST - Public Assist (specify),23-04-03-004449,,COMPLETED- NO REPORT
4/3/2023 8:20,,Farm Shop,ALARM - Fire Alarm,23-04-03-004448,,CALLED PRIOR
4/3/2023 0:07,,Yak?ityutyu - C,ALARM - Elevator Emergency/Alarm,23-04-03-004439,,COMPLETED- NO REPORT
4/2/2023 23:08,2/22/2023 0:00,Pcv Inyo,SEX OFFENSE - SEXUAL BATTERY BY RESTRAINT // CRIME AGAINST PERSON - False Imprisonment // SEX OFFENSE - SEXUAL PENETRATION W/FORCE/FEAR/ETC,,230402,CONFIDENTIAL - DO NOT RELEASE - CK W/MGR
4/2/2023 23:08,,Pcv Aliso,SEX OFFENSE - Sex Offense Report,23-04-02-004438,230402,REPORT TAKEN
4/2/2023 22:20,03/16/2023 04:30 pm - 04/02/2023 05:00 pm,Muir Hall Area,LARCENY-THEFT - PETTY THEFT // MOTOR VEHICLE THEFT - TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,,230401,Closed
4/2/2023 22:20,,Off Campus - Mill At Pepper,MOTOR VEHICLE THEFT - Motor Vehicle Theft Auto,23-04-02-004437,230401,REPORT TAKEN
4/2/2023 21:09,03/28/2023 08:30 pm - 04/02/2023 09:06 pm,Diablo Hall Area,LARCENY-THEFT - PETTY THEFT,,230400,Closed
4/2/2023 21:09,,Diablo Hall Area,LARCENY-THEFT - Theft Report,23-04-02-004434,230400,REPORT TAKEN
4/2/2023 20:17,4/2/2023 19:28,Pcv Corralitos,LARCENY-THEFT - PETTY THEFT,,230399,Closed
4/2/2023 20:17,,Pcv Corralitos,LARCENY-THEFT - Theft Report,23-04-02-004433,230399,REPORT TAKEN
4/2/2023 19:45,,Pcv Corralitos,ALARM - Elevator Emergency/Alarm,23-04-02-004432,,COMPLETED- NO REPORT
4/2/2023 18:47,,Yak?ityutyu - D,ALARM - Elevator Emergency/Alarm,23-04-02-004430,,COMPLETED- NO REPORT
4/2/2023 18:10,,Pcv Corralitos,TRAFFIC - Traffic or Vehicle Code Violation,23-04-02-004428,,CLEARED BY CITATION
4/2/2023 17:58,,Pcv Huasna,ALARM - Fire Alarm,23-04-02-004427,,False/Cooking related
4/2/2023 17:24,,Pcv Aliso,CITIZEN ASSIST - Public Assist (specify),23-04-02-004426,,COMPLETED- NO REPORT
4/2/2023 16:06,,Crandall Gymnasium,PATROL ACTIVITY - Foot Patrol,23-04-02-004425,,IN SERVICE
4/2/2023 15:50,,Poultry Science,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004424,,COMPLETED- NO REPORT
4/2/2023 15:47,,Technology Park,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004423,,COMPLETED- NO REPORT
4/2/2023 15:45,,Technology Park,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004422,,COMPLETED- NO REPORT
4/2/2023 15:43,,H-1 Parking Lot,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004421,,COMPLETED- NO REPORT
4/2/2023 15:42,,H-1 Parking Lot,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004420,,COMPLETED- NO REPORT
4/2/2023 15:39,,Crops Science Unit,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004419,,COMPLETED- NO REPORT
4/2/2023 15:33,,Poly Canyon Road,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004418,,COMPLETED- NO REPORT
4/2/2023 15:32,,Village Drive Parking Structure,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004417,,COMPLETED- NO REPORT
4/2/2023 15:31,,Pcv Huasna,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004416,,COMPLETED- NO REPORT
4/2/2023 15:30,,Pcv Inyo,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004415,,COMPLETED- NO REPORT
4/2/2023 15:27,,Pcv Aliso,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004414,,COMPLETED- NO REPORT
4/2/2023 15:26,,Pcv Gypsum,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004413,,COMPLETED- NO REPORT
4/2/2023 15:24,,Pcv Gypsum,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004412,,COMPLETED- NO REPORT
4/2/2023 15:22,,Julian A. Mcphee University Union,PATROL ACTIVITY - Foot Patrol,23-04-02-004411,,IN SERVICE
4/2/2023 15:20,,Pcv Estrella,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004410,,COMPLETED- NO REPORT
4/2/2023 15:17,,Pcv Dover,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004409,,COMPLETED- NO REPORT
4/2/2023 15:11,,Pcv Buena Vista,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004408,,COMPLETED- NO REPORT
4/2/2023 15:06,,Via Carta Road,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-02-004407,,GONE ON ARRIVAL/UNABLE TO LOCATE
4/2/2023 14:58,,Performing Arts Center,ALARM - Elevator Emergency/Alarm,23-04-02-004406,,TURNED OVER TO FACILITY SVS
4/2/2023 14:38,,Baseball Stadium,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004405,,COMPLETED- NO REPORT
4/2/2023 14:22,,H-16 Parking Lot,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004404,,COMPLETED- NO REPORT
4/2/2023 14:20,,H-16 Parking Lot,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004403,,COMPLETED- NO REPORT
4/2/2023 14:14,,Center For Science,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004402,,COMPLETED- NO REPORT
4/2/2023 14:11,,Performing Arts Center,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004401,,QUIET ON ARRIVAL/QUIET ON DEPARTURE
4/2/2023 14:06,,Center For Science,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004400,,COMPLETED- NO REPORT
4/2/2023 13:57,,R-1 Parking Lot,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004397,,COMPLETED- NO REPORT
4/2/2023 13:57,,Diablo Hall,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004398,,COMPLETED- NO REPORT
4/2/2023 13:56,,R-1 Parking Lot,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004396,,COMPLETED- NO REPORT
4/2/2023 13:42,,Sierra Madre Hall,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004395,,COMPLETED- NO REPORT
4/2/2023 13:38,,Yosemite Hall,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004394,,COMPLETED- NO REPORT
4/2/2023 12:53,,Yak?ityutyu - C,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004393,,COMPLETED- NO REPORT
4/2/2023 12:52,,Yak?ityutyu - B,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004392,,COMPLETED- NO REPORT
4/2/2023 12:48,,Yak?ityutyu - C,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004390,,COMPLETED- NO REPORT
4/2/2023 12:47,,Yak?ityutyu - F,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004389,,COMPLETED- NO REPORT
4/2/2023 12:45,,Yak?ityutyu - D,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004388,,COMPLETED- NO REPORT
4/2/2023 12:39,,Yak?ityutyu - E,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004387,,COMPLETED- NO REPORT
4/2/2023 12:37,,Yak?ityutyu - G,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004386,,COMPLETED- NO REPORT
4/2/2023 12:34,,Yak?ityutyu - G,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004385,,COMPLETED- NO REPORT
4/2/2023 12:30,,Yak?ityutyu - A,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004384,,COMPLETED- NO REPORT
4/2/2023 12:28,,Yak?ityutyu - H,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004383,,COMPLETED- NO REPORT
4/2/2023 12:25,,Yak?ityutyu - H,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004382,,COMPLETED- NO REPORT
4/2/2023 12:23,,Yak?ityutyu - H,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004381,,COMPLETED- NO REPORT
4/2/2023 12:12,,Track,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004380,,COMPLETED- NO REPORT
4/2/2023 12:06,,Recreation Center,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004379,,COMPLETED- NO REPORT
4/2/2023 12:02,,Recreation Center,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004378,,COMPLETED- NO REPORT
4/2/2023 11:59,,Health & Wellbeing Center,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004377,,COMPLETED- NO REPORT
4/2/2023 11:56,,C-4 Parking Lot,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004376,,COMPLETED- NO REPORT
4/2/2023 11:47,,Grant Brown Engineering Area,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004375,,COMPLETED- NO REPORT
4/2/2023 11:45,,Grant Brown Engineering Area,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004374,,COMPLETED- NO REPORT
4/2/2023 11:43,,Bonderson Engineering,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004373,,COMPLETED- NO REPORT
4/2/2023 11:36,,Bonderson Engineering,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-02-004372,,COMPLETED- NO REPORT
4/2/2023 10:17,,,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-02-004369,,COMPLETED- NO REPORT
4/2/2023 7:05,,Poly P,PATROL ACTIVITY - Foot Patrol,23-04-02-004365,,IN SERVICE
4/2/2023 6:26,,Cal Poly Police Department,CITIZEN ASSIST - Public Assist (specify),23-04-02-004363,,COMPLETED- NO REPORT
4/2/2023 4:07,,University Drive,VEHICLE - Vehicle Stop,23-04-02-004362,,DRIVER WARNED/ADVISED
4/2/2023 2:53,,Recreation Center Outdoor Pool,ALARM - Burglary Alarm,23-04-02-004361,,COMPLETED- NO REPORT
4/1/2023 23:39,04/01/2023 11:39 pm - 04/02/2023 12:23 am,Cerro Vista  Morro,MEDICAL - MEDICAL AID - ALCOHOL/DRUG,,230398,Closed
4/1/2023 23:39,,Cerro Vista Housing,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-01-004359,230398,REPORT TAKEN
4/1/2023 22:30,,Cerro Vista  Islay,ALARM - Elevator Emergency/Alarm,23-04-01-004357,,COMPLETED- NO REPORT
4/1/2023 21:16,,Pcv Estrella,ALARM - Elevator Emergency/Alarm,23-04-01-004356,,UNFOUNDED
4/1/2023 19:12,,Performing Arts Center,ALARM - Fire Alarm,23-04-01-004355,,COMPLETED- NO REPORT
4/1/2023 18:18,,Unknown On-campus,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-01-004352,,COMPLETED- NO REPORT
4/1/2023 18:02,,Muir Hall,LARCENY-THEFT - Theft Report,23-04-01-004351,,COMPLETED- NO REPORT
4/1/2023 16:25,,Recreation Center Outdoor Pool,DISTURBANCE - Disturbance,23-04-01-004348,,COMPLETED- NO REPORT
4/1/2023 15:42,,Inner Perimeter,PATROL ACTIVITY - Foot Patrol,23-04-01-004347,,IN SERVICE
4/1/2023 15:38,,Cerro Vista  Cabrillo,ALARM - Elevator Emergency/Alarm,23-04-01-004346,,False/Human Error
4/1/2023 12:35,,Trinity Hall,CITIZEN ASSIST - Public Assist (specify),23-04-01-004344,,COMPLETED- NO REPORT
4/1/2023 12:13,,Spanos Stadium,PATROL ACTIVITY - Foot Patrol,23-04-01-004343,,IN SERVICE
4/1/2023 12:11,,Muir Hall,ADMINISTRATIVE - Maintenance Request (specify),23-04-01-004342,,COMPLETED- NO REPORT
4/1/2023 11:34,,Zone 1 East Of California Blvd.,PATROL ACTIVITY - Patrol Check,23-04-01-004341,,IN SERVICE
4/1/2023 9:53,,Cerro Vista  Morro,CITIZEN ASSIST - Public Assist (specify),23-04-01-004339,,COMPLETED- NO REPORT
4/1/2023 9:39,,Pcv Huasna,ALARM - Elevator Emergency/Alarm,23-04-01-004338,,False/Human Error
4/1/2023 7:05,,Poly P,PATROL ACTIVITY - Foot Patrol,23-04-01-004335,,IN SERVICE
3/31/2023 21:56,,Farm Shop,PATROL ACTIVITY - Patrol Check,23-03-31-004333,,COMPLETED- NO REPORT
3/31/2023 18:09,,Julian A. Mcphee University Union,CITIZEN ASSIST - Citizen Contact,23-03-31-004332,,COMPLETED- NO REPORT
3/31/2023 16:45,,Diablo Hall Area,PATROL ACTIVITY - Patrol Check,23-03-31-004331,,IN SERVICE
3/31/2023 14:41,,Highland Drive,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-31-004330,,COMPLETED- NO REPORT
3/31/2023 11:18,,Kinesiology,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-31-004329,,QUIET ON ARRIVAL/QUIET ON DEPARTURE
3/31/2023 10:29,,Center For Science,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-31-004328,,UNFOUNDED
3/31/2023 9:48,,Corporation,ALARM - Burglary Alarm,23-03-31-004327,,False/Human Error
3/31/2023 8:28,,Yak?ityutyu Area,PATROL ACTIVITY - Foot Patrol,23-03-31-004326,,IN SERVICE
3/31/2023 5:34,,Recreation Center Outdoor Pool,ALARM - Burglary Alarm,23-03-31-004323,,False -  Facilities Staff
3/31/2023 5:04,,Highland Drive,TRAFFIC - BICYCLE STOP,23-03-31-004322,,SUBJECT(S) ADVISED/WARNED
3/31/2023 4:33,,Recreation Center Outdoor Pool,ALARM - Fire Alarm,23-03-31-004321,,SECURE/UNKNOWN
3/31/2023 1:37,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-03-31-004320,,IN SERVICE
3/31/2023 1:20,,Crops Unit Area,PATROL ACTIVITY - Foot Patrol,23-03-31-004319,,IN SERVICE
3/31/2023 1:15,,California Boulevard,PATROL ACTIVITY - Patrol Check,23-03-31-004318,,IN SERVICE
3/31/2023 0:40,,Spanos Stadium,PATROL ACTIVITY - Foot Patrol,23-03-31-004317,,IN SERVICE
3/31/2023 0:21,,Lower Soccer Field/sports Complex,PATROL ACTIVITY - Patrol Check,23-03-31-004316,,IN SERVICE
3/31/2023 0:08,,Pcv Huasna,ALARM - Fire Alarm,23-03-31-004315,,False/Cooking related
3/30/2023 22:35,,Administration,ALARM - Burglary Alarm,23-03-30-004314,,CALLED PRIOR
3/30/2023 21:50,,Pcv Aliso,ALARM - Fire Alarm,23-03-30-004313,,False/Cooking related
3/30/2023 15:47,,Yak?ityutyu - D,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-30-004309,,COMPLETED- NO REPORT
3/30/2023 15:03,,Cerro Vista  Morro,ALARM - Fire Alarm,23-03-30-004308,,False/Mechanical
3/30/2023 14:23,02/25/2023 12:00 am - 02/25/2023 11:00 pm,Off Campus - Downtown,PROPERTY - Lost Property,,230397,Closed
3/30/2023 14:23,,,PROPERTY - Lost Property,23-03-30-004306,230397,REPORT TAKEN
3/30/2023 9:08,,Poly Canyon Village,ALARM - Fire Alarm,23-03-30-004299,,CALLED PRIOR
3/30/2023 9:08,,Julian A. Mcphee University Union,ALARM - Fire Alarm,23-03-30-004300,,CALLED PRIOR
3/30/2023 0:38,,Recreation Center Outdoor Pool,ALARM - Burglary Alarm,23-03-30-004294,,SECURE/UNKNOWN
3/29/2023 23:59,,Pcv Aliso,ALARM - Fire Alarm,23-03-29-004292,,False/Cooking related
3/29/2023 18:23,,Cerro Vista  Hollister,ALARM - Fire Alarm,23-03-29-004289,,False/Cooking related
3/29/2023 18:19,,Cerro Vista Bishop,ALARM - Fire Alarm,23-03-29-004288,,False/Cooking related
3/29/2023 15:42,,Yak?ityutyu ,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-29-004286,,IN SERVICE
3/29/2023 14:01,,Administration,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-29-004284,,COMPLETED- NO REPORT
3/29/2023 12:31,,Health & Wellbeing Center Area,PATROL ACTIVITY - Foot Patrol,23-03-29-004283,,IN SERVICE
3/29/2023 11:25,,Housing & Residential Life Area,PATROL ACTIVITY - Foot Patrol,23-03-29-004282,,IN SERVICE
3/29/2023 10:53,,Dairy Science Unit,ALARM - Fire Alarm,23-03-29-004281,,False -  Facilities Staff
3/29/2023 9:32,,Kennedy Library,PATROL ACTIVITY - Foot Patrol,23-03-29-004278,,IN SERVICE
3/29/2023 9:23,02/26/2023 12:01 am - 02/26/2023 11:59 pm,,PROPERTY - Lost Property,,230396,Closed
3/29/2023 9:23,,Off Campus - 154,PROPERTY - Lost Property,23-03-29-004277,230396,REPORT TAKEN
3/29/2023 9:12,,Administration,PATROL ACTIVITY - Foot Patrol,23-03-29-004276,,IN SERVICE
3/29/2023 8:58,,Children's Center (asi),ALARM - Panic Alarm,23-03-29-004275,,False/Human Error
3/29/2023 7:44,,Advanced Technology Lab,ALARM - Burglary Alarm,23-03-29-004271,,IN SERVICE
3/29/2023 4:23,,Frank E Pilling Computer Science,ALARM - Burglary Alarm,23-03-29-004267,,False/Human Error
3/29/2023 2:36,,Spanos Stadium,ALARM - Fire Alarm,23-03-29-004266,,TURNED OVER TO FACILITY SVS
3/29/2023 1:10,,Inner Perimeter,PATROL ACTIVITY - Patrol Check,23-03-29-004265,,IN SERVICE
3/29/2023 1:01,,Advanced Technology Lab,ALARM - Burglary Alarm,23-03-29-004264,,SECURE/UNKNOWN
3/29/2023 0:36,,Engineering South,ALARM - Equipment Alarm,23-03-29-004263,,COMPLETED- NO REPORT
3/28/2023 23:29,,Education Building,ALARM - Burglary Alarm,23-03-28-004262,,False/Custodial
3/28/2023 21:58,,Zone2 West Of California Blvd,PATROL ACTIVITY - Patrol Check,23-03-28-004260,,IN SERVICE
3/28/2023 20:50,,Inner Perimeter,PATROL ACTIVITY - Patrol Check,23-03-28-004259,,IN SERVICE
3/28/2023 19:34,,A-1 Parking Lot,CITIZEN ASSIST - Public Assist (specify),23-03-28-004256,,IN SERVICE
3/28/2023 18:26,01/01/2023 12:00 am - 03/24/2023 03:00 pm,Yak?ityutyu ,LARCENY-THEFT - GRAND THEFT:MONEY/LABOR/PROPERTY,,230395,Closed
3/28/2023 18:26,,Yak?ityutyu ,LARCENY-THEFT - Theft Report,23-03-28-004254,230395,REPORT TAKEN
3/28/2023 14:41,,Yak?ityutyu - H,ALARM - Equipment Alarm,23-03-28-004249,,TURNED OVER TO HOUSING
3/28/2023 14:28,,William & Linda Frost Center For Research & Innovation,ALARM - Elevator Emergency/Alarm,23-03-28-004248,,COMPLETED- NO REPORT
3/28/2023 14:24,,Advanced Technology Lab,ALARM - Burglary Alarm,23-03-28-004247,,SECURE/UNKNOWN
3/28/2023 12:55,,Yak?ityutyu - D,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-28-004244,,IN SERVICE
3/28/2023 11:36,,Yak?ityutyu - D,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-28-004242,,IN SERVICE
3/28/2023 8:36,,Village Drive Parking Structure,VANDALISM - Malicious Mischief report,23-03-28-004240,,IN SERVICE
3/28/2023 5:14,,Poly Canyon Village Area,PATROL ACTIVITY - Patrol Check,23-03-28-004231,,IN SERVICE
3/28/2023 5:09,,Yak?ityutyu Area,PATROL ACTIVITY - Foot Patrol,23-03-28-004230,,IN SERVICE
3/28/2023 5:02,,Avila Residence,PATROL ACTIVITY - Foot Patrol,23-03-28-004229,,IN SERVICE
3/28/2023 1:52,,Julian A. Mcphee University Union Area,PATROL ACTIVITY - Patrol Check,23-03-28-004228,,IN SERVICE
3/28/2023 1:28,,Walter F. Dexter Building Area,PATROL ACTIVITY - Patrol Check,23-03-28-004227,,IN SERVICE
3/28/2023 1:05,,Inner Perimeter,PATROL ACTIVITY - Patrol Check,23-03-28-004226,,IN SERVICE
3/27/2023 22:51,,Recreation Center,ALARM - Burglary Alarm,23-03-27-004224,,COMPLETED- NO REPORT
3/27/2023 22:10,,Recreation Center,ALARM - Burglary Alarm,23-03-27-004223,,SECURE/UNKNOWN
3/27/2023 21:08,,Pcv Estrella,ALARM - Fire Alarm,23-03-27-004222,,False/Cooking related
3/27/2023 20:50,,Corporation,ALARM - Burglary Alarm,23-03-27-004220,,SECURE/UNKNOWN
3/27/2023 17:22,,Red Brick Dorms,PATROL ACTIVITY - Patrol Check,23-03-27-004216,,IN SERVICE
3/27/2023 12:47,03/17/2023 03:30 pm - 03/27/2023 10:00 am,Crops Unit Area,MOTOR VEHICLE THEFT - 10851 Recovered local/stolen out of area,,230392,
3/27/2023 12:47,,Crops Unit Area,MOTOR VEHICLE THEFT - Motor Vehicle Theft Auto,23-03-27-004213,230392,REPORT TAKEN
3/27/2023 12:22,,Sierra Madre Hall,PATROL ACTIVITY - Patrol Check,23-03-27-004212,,IN SERVICE
3/27/2023 11:58,,Yak?ityutyu Area,PATROL ACTIVITY - Patrol Check,23-03-27-004211,,IN SERVICE
3/27/2023 10:50,03/23/2023 10:30 am - 03/23/2023 02:30 pm,Crandall Gymnasium,BURGLARY - BURGLARY,,230391,Closed
3/27/2023 10:50,,Natatorium,BURGLARY - Burglary report,23-03-27-004210,230391,REPORT TAKEN
3/27/2023 9:55,,Grand Avenue Parking Structure,TRAFFIC COLLISION - Traffic Collision/Hit and Run,23-03-27-004209,,IN SERVICE
3/27/2023 5:44,03/27/2023 05:44 am - 03/27/2023 06:22 am,California Boulevard,WEAPONS VIOLATION - Possess Weapon/Etc. on Campus,,230390,Closed
3/27/2023 5:44,,California Boulevard,CITIZEN ASSIST - Check The Welfare,23-03-27-004203,230390,IN SERVICE
3/26/2023 23:16,,Yak?ityutyu - D,VANDALISM - Malicious Mischief report,23-03-26-004200,,UNFOUNDED
3/26/2023 17:52,,Cerro Vista  Islay,ALARM - Elevator Emergency/Alarm,23-03-26-004199,,UNFOUNDED
3/26/2023 17:18,03/26/2023 05:18 pm - 03/26/2023 05:19 pm,Dairy Science Unit,PROPERTY - Found Property report,,230389,
3/26/2023 17:18,,Dairy Science Unit,PROPERTY - Found Property report,23-03-26-004198,230389,REPORT TAKEN
3/26/2023 15:05,03/25/2023 08:00 pm - 03/26/2023 02:45 pm,Dairy Science Unit,MOTOR VEHICLE THEFT - TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,,230388,Closed
3/26/2023 15:05,,Dairy Science Unit,MOTOR VEHICLE THEFT - Motor Vehicle Theft Auto,23-03-26-004195,230388,REPORT TAKEN
3/26/2023 14:01,,Yak?ityutyu - D,ALARM - Fire Alarm,23-03-26-004194,,False/Cooking related
3/26/2023 12:43,,Pcv Inyo,ALARM - Fire Alarm,23-03-26-004193,,False/Mechanical
3/26/2023 12:42,,Performing Arts Center,ALARM - Fire Alarm,23-03-26-004192,,CALLED PRIOR
3/26/2023 9:15,,"Off Campus - Mustang Village, Bldg. 32",ASSIST - Assist Other Agency,23-03-26-004187,,COMPLETED- NO REPORT
3/26/2023 9:03,,R-1 Parking Lot,PROPERTY - Lost Property,23-03-26-004186,,COMPLETED- NO REPORT
3/26/2023 6:15,,Serrano Ranch,CITIZEN ASSIST - Public Assist (specify),23-03-26-004184,,COMPLETED- NO REPORT
3/26/2023 1:51,,Off Campus - Between Mustang 1 And 2,ASSIST - Assist Other Agency,23-03-26-004183,,COMPLETED- NO REPORT
3/26/2023 1:44,,Off Campus - Between Mustang 1 & 2,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-26-004182,,TURNED OVER TO SLPD
3/26/2023 0:39,,Natatorium,PATROL ACTIVITY - Patrol Check,23-03-26-004181,,COMPLETED- NO REPORT
3/26/2023 0:10,,California Boulevard,VEHICLE - Vehicle Stop,23-03-26-004180,,DRIVER WARNED/ADVISED
3/25/2023 22:27,,Yak?ityutyu - G,VANDALISM - Malicious Mischief report,23-03-25-004177,,COMPLETED- NO REPORT
3/25/2023 22:22,,Off Campus - 55 Broad The Villages,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-25-004176,,TURNED OVER TO SLPD
3/25/2023 19:37,03/25/2023 07:37 pm - 03/25/2023 08:17 pm,,FIRE - Fire,,230387,Closed
3/25/2023 19:37,,Highland Drive,FIRE - Fire,23-03-25-004175,230387,REPORT TAKEN
3/25/2023 19:16,,Baseball Stadium,CITIZEN ASSIST - Check The Welfare,23-03-25-004174,,COMPLETED- NO REPORT
3/25/2023 19:11,,Environmental Horticulture Science Area,CITIZEN ASSIST - Public Assist (specify),23-03-25-004173,,COMPLETED- NO REPORT
3/25/2023 18:59,,Performing Arts Center,ALARM - Fire Alarm,23-03-25-004171,,CALLED PRIOR
3/25/2023 18:15,,Frank E Pilling Computer Science,ALARM - Fire Alarm,23-03-25-004170,,False/Mechanical
3/25/2023 18:05,03/24/2023 10:00 pm - 03/25/2023 12:00 pm,Village Drive Parking Structure,LARCENY-THEFT - PETTY THEFT,,230386,Closed
3/25/2023 18:05,,Village Drive Parking Structure,BURGLARY - Burglary report,23-03-25-004169,230386,REPORT TAKEN
3/25/2023 17:45,,Village Drive Parking Structure,LARCENY-THEFT - Theft Report,23-03-25-004168,,COMPLETED- NO REPORT
3/25/2023 16:43,,Alex & Faye Spanos Theatre,ALARM - Fire Alarm,23-03-25-004165,,CALLED PRIOR
3/25/2023 16:15,,Grand Avenue Parking Structure,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-03-25-004164,,COMPLETED- NO REPORT
